id;Time;Post1;Post2;Difference;Frequency;Amplitude;Duration
1934151;1571816137021;4;2;-9130.79;9356.62;4.33;5.45
1934152;1571816137021;4;1;17015.04;9356.62;4.33;5.45
1934153;1571816137021;2;1;26142.63;9356.69;14.27;4.56
1934154;1571816137021;4;1;17009.04;9356.68;2.11;5.11
1934156;1571816137033;4;2;-8881.96;9356.66;7.53;5.54
1934157;1571816137033;4;1;16997.05;9356.66;7.53;5.54
1934158;1571816137033;2;1;25875.82;9356.65;15.51;5.12
1934159;1571816137033;4;2;-8884.96;9356.64;6.85;5.52
1934160;1571816137033;4;1;16997.05;9356.64;6.85;5.52
1934161;1571816137033;2;1;25878.81;9356.67;2.87;5.37
1934162;1571816137045;4;2;-8878.96;9356.60;6.76;5.54
1934163;1571816137045;4;1;17003.04;9356.60;6.76;5.54
1934164;1571816137045;2;1;25878.81;9356.60;20.42;5.53
1934169;1571816137045;4;2;-8872.96;9356.61;4.84;5.41
1934170;1571816137045;4;1;17009.04;9356.61;4.84;5.41
1934171;1571816137045;2;1;25878.81;9356.60;18.65;5.33
1935776;1571816140489;4;2;-8878.96;9356.57;6.93;5.62
1935777;1571816140489;4;1;16983.72;9356.57;6.93;5.62
1935778;1571816140489;2;1;25863.82;9356.60;5.94;5.51
1935780;1571816140489;4;2;-8881.96;9356.60;8.23;5.62
1935781;1571816140489;4;1;16983.72;9356.60;8.23;5.62
1935782;1571816140489;2;1;25866.82;9356.64;5.94;5.50
1935784;1571816140501;4;2;-8872.96;9356.60;11.05;5.49
1935785;1571816140501;4;1;16986.72;9356.60;11.05;5.49
1935786;1571816140501;2;1;25860.83;9356.62;26.48;5.51
1935791;1571816140501;4;2;-8869.97;9356.62;11.05;5.44
1935792;1571816140501;4;1;16989.71;9356.62;11.05;5.44
1935793;1571816140501;2;1;25860.83;9356.65;26.80;5.52
1936401;1571816142229;4;2;-8845.98;9356.69;1.84;5.12
1936402;1571816142229;4;1;16962.73;9356.69;1.84;5.12
1936403;1571816142229;2;1;25809.86;9356.60;19.21;5.49
1936411;1571816142229;4;2;-8854.98;9356.65;2.11;5.10
1936412;1571816142229;4;1;16830.82;9356.65;2.11;5.10
1936413;1571816142229;2;1;25686.95;9356.57;19.03;5.57
1937095;1571816144245;2;1;25845.84;9356.71;15.22;4.98
1937119;1571816144341;2;1;25411.14;9356.70;16.56;5.37
1937121;1571816144341;4;2;-8705.08;9356.74;0.81;4.48
1937182;1571816144509;4;1;16989.71;9356.71;2.87;5.46
1937185;1571816144509;4;2;-9307.66;9356.68;4.23;5.42
1937186;1571816144509;4;1;16971.73;9356.68;4.23;5.42
1937187;1571816144509;2;1;26280.54;9356.72;0.17;2.95
1937188;1571816144521;4;2;-8866.97;9356.66;12.75;5.52
1937189;1571816144521;4;1;16971.73;9356.66;12.75;5.52
1937190;1571816144521;2;1;25839.84;9356.48;23.15;5.79
1937191;1571816144521;4;2;-8872.96;9356.68;12.08;5.52
1937192;1571816144521;4;1;16971.73;9356.68;12.08;5.52
1937193;1571816144521;2;1;25845.84;9356.62;23.13;5.67
1937197;1571816144533;4;2;-8878.96;9356.67;12.54;5.49
1937198;1571816144533;4;1;16971.73;9356.67;12.54;5.49
1937199;1571816144533;2;1;25851.83;9356.67;31.54;5.49
1937205;1571816144533;4;2;-8878.96;9356.37;9.71;5.82
1937206;1571816144533;4;1;16965.73;9356.37;9.71;5.82
1937207;1571816144533;2;1;25845.84;9356.55;30.07;5.71
1937213;1571816144545;4;2;-8603.15;9356.67;0.97;3.98
1937216;1571816144545;2;1;25078.37;9356.72;16.93;5.28
1937246;1571816144593;4;2;-8774.03;9356.72;2.50;4.78
1937247;1571816144593;4;2;-8801.01;9356.70;2.11;4.78
1937249;1571816144605;4;2;-8887.95;9356.64;4.74;5.38
1937250;1571816144605;4;1;16980.72;9356.64;4.74;5.38
1937251;1571816144605;2;1;25869.82;9356.77;15.97;5.22
1937256;1571816144605;4;2;-8860.97;9356.71;3.35;5.28
1937257;1571816144605;4;1;16998.71;9356.71;3.35;5.28
1937258;1571816144605;2;1;25860.83;9356.73;2.24;5.15
1937262;1571816144617;4;2;-8875.96;9356.51;9.66;5.75
1937263;1571816144617;4;1;16968.73;9356.51;9.66;5.75
1937264;1571816144617;2;1;25845.84;9356.62;20.66;5.63
1937265;1571816144617;4;2;-8878.96;9356.45;9.88;5.76
1937266;1571816144617;4;1;16971.73;9356.45;9.88;5.76
1937267;1571816144617;2;1;25851.83;9356.64;20.00;5.60
1937268;1571816144629;4;2;-8872.96;9356.68;12.13;5.50
1937269;1571816144629;4;1;16977.72;9356.68;12.13;5.50
1937270;1571816144629;2;1;25851.83;9356.59;30.15;5.65
1937274;1571816144629;4;2;-8869.97;9356.69;11.69;5.48
1937275;1571816144629;4;1;16977.72;9356.69;11.69;5.48
1937276;1571816144629;2;1;25848.83;9356.55;30.33;5.68
1937279;1571816144641;4;2;-8836.99;9356.74;1.27;5.08
1937280;1571816144641;4;1;17004.70;9356.74;1.27;5.08
1937281;1571816144641;2;1;25842.84;9356.60;22.59;5.64
1937286;1571816144641;4;2;-8330.34;9356.69;0.50;2.68
1937287;1571816144641;4;1;17505.36;9356.69;0.50;2.68
1937288;1571816144641;2;1;25836.84;9356.61;21.40;5.63
1937347;1571816144809;4;2;-8708.08;9356.73;0.67;3.70
1937348;1571816144809;4;1;16857.81;9356.73;0.67;3.70
1937349;1571816144809;2;1;25567.03;9356.75;14.78;4.81
1937350;1571816144809;4;2;-8690.09;9356.75;0.98;4.27
1937351;1571816144809;4;1;16668.94;9356.75;0.98;4.27
1937352;1571816144809;2;1;25360.17;9356.72;15.22;5.20
1937357;1571816144821;4;2;-8848.98;9356.72;2.37;5.35
1937358;1571816144821;4;1;16980.72;9356.72;2.37;5.35
1937359;1571816144821;2;1;25830.85;9356.53;23.25;5.71
1937363;1571816144821;4;2;-8863.97;9356.73;2.24;5.31
1937364;1571816144821;4;1;16968.73;9356.73;2.24;5.31
1937365;1571816144821;2;1;25833.84;9356.57;23.48;5.69
1937412;1571816144917;2;1;25935.77;9356.74;14.62;4.91
1937908;1571816146261;4;2;-8696.09;9356.69;0.81;2.37
1937909;1571816146261;4;1;17199.57;9356.69;0.81;2.37
1937910;1571816146261;2;1;25896.80;9356.72;14.47;4.96
1937916;1571816146261;2;1;26088.67;9356.73;14.62;3.71
1938042;1571816146549;2;1;26148.63;9356.66;14.14;2.22
1938093;1571816146741;4;2;-8708.08;9356.68;1.12;3.75
1938094;1571816146741;4;1;17139.61;9356.68;1.12;3.75
1938095;1571816146741;2;1;25848.83;9356.70;16.81;5.31
1938097;1571816146741;4;2;-8863.97;9356.77;0.81;5.01
1938098;1571816146741;4;1;16989.71;9356.77;0.81;5.01
1938099;1571816146741;2;1;25854.83;9356.70;16.68;5.38
1938281;1571816147221;4;2;-8738.06;9356.74;0.66;4.54
1938559;1571816148181;4;2;-8878.96;9356.61;1.70;5.19
1938565;1571816148181;4;2;-8827.99;9356.72;1.27;5.00
1938584;1571816148265;4;2;-8881.96;9356.75;1.87;5.20
1938585;1571816148265;4;1;16992.71;9356.75;1.87;5.20
1938586;1571816148265;2;1;25875.82;9356.74;1.41;5.10
1938587;1571816148265;4;2;-8860.97;9356.76;2.80;5.15
1938588;1571816148265;4;1;16995.71;9356.76;2.80;5.15
1938589;1571816148265;2;1;25857.83;9356.75;16.18;5.29
1938595;1571816148277;4;2;-8878.96;9356.63;6.76;5.57
1938596;1571816148277;4;1;16965.73;9356.63;6.76;5.57
1938597;1571816148277;2;1;25845.84;9356.67;26.87;5.54
1938603;1571816148277;4;2;-8878.96;9356.56;8.13;5.69
1938604;1571816148277;4;1;16962.73;9356.56;8.13;5.69
1938605;1571816148277;2;1;25842.84;9356.59;27.77;5.67
1938611;1571816148289;4;2;-8660.11;9356.74;0.17;2.58
1938612;1571816148289;4;1;17169.59;9356.74;0.17;2.58
1938613;1571816148289;2;1;25830.85;9356.66;21.75;5.59
1938615;1571816148289;4;2;-8813.01;9356.76;1.12;4.87
1938616;1571816148289;4;1;17019.69;9356.76;1.12;4.87
1938617;1571816148289;2;1;25833.84;9356.58;21.95;5.65
1938633;1571816148349;4;2;-9007.87;9356.60;4.54;5.59
1938634;1571816148349;4;1;16968.73;9356.60;4.54;5.59
1938635;1571816148349;2;1;25977.74;9356.72;1.97;4.72
1938636;1571816148349;4;2;-8923.93;9356.63;5.22;5.59
1938637;1571816148349;4;1;16968.73;9356.63;5.22;5.59
1938638;1571816148349;2;1;25893.80;9356.74;1.56;5.18
1938640;1571816148361;4;2;-8869.97;9356.61;12.95;5.54
1938641;1571816148361;4;1;16971.73;9356.61;12.95;5.54
1938642;1571816148361;2;1;25842.84;9356.66;22.47;5.62
1938643;1571816148361;4;2;-8869.97;9356.70;13.22;5.57
1938644;1571816148361;4;1;16965.73;9356.70;13.22;5.57
1938645;1571816148361;2;1;25836.84;9356.61;22.02;5.66
1938651;1571816148373;4;2;-8875.96;9356.66;13.56;5.59
1938652;1571816148373;4;1;16962.73;9356.66;13.56;5.59
1938653;1571816148373;2;1;25839.84;9356.65;27.67;5.62
1938661;1571816148373;4;2;-8863.97;9356.71;11.51;5.47
1938662;1571816148373;4;1;16968.73;9356.71;11.51;5.47
1938663;1571816148373;2;1;25833.84;9356.50;23.13;5.76
1938664;1571816148385;4;2;-8860.97;9356.73;2.63;5.35
1938665;1571816148385;4;1;16974.72;9356.73;2.63;5.35
1938666;1571816148385;2;1;25836.84;9356.70;19.83;5.47
1938667;1571816148385;4;2;-8866.97;9356.69;4.44;5.44
1938668;1571816148385;4;1;16953.74;9356.69;4.44;5.44
1938669;1571816148385;2;1;25821.85;9356.58;22.59;5.67
1938684;1571816148397;4;2;-8857.97;9356.73;1.70;5.31
1938693;1571816148457;4;2;-8887.95;9356.57;9.07;5.66
1938694;1571816148457;4;2;-8929.92;9356.66;8.37;5.56
1938695;1571816148457;4;1;16722.90;9356.66;8.37;5.56
1938696;1571816148457;2;1;25653.97;9356.78;1.27;4.87
1938700;1571816148469;4;2;-8878.96;9356.62;9.08;5.61
1938701;1571816148469;4;1;16938.75;9356.62;9.08;5.61
1938702;1571816148469;4;3;-538.48;9356.62;9.08;5.61
1938708;1571816148469;4;2;-8887.95;9356.68;7.29;5.54
1938709;1571816148469;4;1;16947.74;9356.68;7.29;5.54
1938710;1571816148469;4;3;-541.48;9356.68;7.29;5.54
1938721;1571816148565;2;1;25836.84;9356.64;18.74;5.46
1938724;1571816148565;4;2;-8567.18;9356.72;0.50;3.44
1938725;1571816148565;4;1;17211.56;9356.72;0.50;3.44
1938726;1571816148565;2;1;25779.88;9356.61;20.89;5.60
1938756;1571816148661;4;2;-8842.98;9356.70;0.81;4.71
1938757;1571816148661;4;1;16992.71;9356.70;0.81;4.71
1938758;1571816148661;2;1;25836.84;9356.68;15.65;5.26
1939504;1571816150293;2;1;26493.39;9356.69;13.98;2.50
1939630;1571816150677;4;2;-8863.97;9356.72;1.70;4.98
1939631;1571816150677;4;1;16926.76;9356.72;1.70;4.98
1939632;1571816150677;2;1;25790.30;9356.65;17.72;5.51
1939633;1571816150677;4;2;-8777.03;9356.72;1.70;4.85
1939634;1571816150677;4;1;17025.69;9356.72;1.70;4.85
1939635;1571816150677;2;1;25802.29;9356.68;17.94;5.38
1939953;1571816151541;4;2;-8564.18;9356.63;0.66;3.57
1940058;1571816151925;2;1;25907.22;9356.73;15.22;4.95
1940070;1571816151925;2;1;25850.26;9356.70;14.93;5.13
1940103;1571816152021;2;3;8328.23;9356.68;17.04;5.47
1940104;1571816152021;2;1;25835.27;9356.68;17.04;5.47
1940108;1571816152021;2;3;8649.01;9356.67;14.78;3.40
1940109;1571816152021;2;1;26153.05;9356.67;14.78;3.40
1940121;1571816152033;4;2;-8801.01;9356.71;0.50;1.89
1940150;1571816152093;4;1;16959.73;9356.70;6.44;5.44
1940152;1571816152093;4;1;16962.73;9356.65;8.13;5.55
1940153;1571816152105;4;2;-8866.97;9356.66;18.08;5.51
1940154;1571816152105;4;1;16968.73;9356.66;18.08;5.51
1940155;1571816152105;2;1;25835.27;9356.65;19.30;5.58
1940156;1571816152105;4;2;-8869.97;9356.69;18.28;5.49
1940157;1571816152105;4;1;16965.73;9356.69;18.28;5.49
1940158;1571816152105;2;1;25835.27;9356.65;20.18;5.60
1940159;1571816152117;4;2;-8872.96;9356.66;19.69;5.58
